ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Leg_Start,Leg_End
00100313,beam,M313,L40x4,A36,1.02215,-1.02215,9.85,0.0,-1.00274,10.925,"{'ID': '00100332', 'Type': 'beam', 'PieceMark': 'M332', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': -1.02215, 'EndZ': 9.85}",
00100315,beam,M315,L40x4,A36,1.02215,-1.02215,9.85,1.00274,0.0,10.925,"{'ID': '00100332', 'Type': 'beam', 'PieceMark': 'M332', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': -1.02215, 'EndZ': 9.85}",
00100316,beam,M316,L40x4,A36,1.02215,1.02215,9.85,1.00274,0.0,10.925,"{'ID': '00100333', 'Type': 'beam', 'PieceMark': 'M333', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': 1.02215, 'EndZ': 9.85}",
00100318,beam,M318,L40x4,A36,1.02215,1.02215,9.85,0.0,1.00274,10.925,"{'ID': '00100333', 'Type': 'beam', 'PieceMark': 'M333', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': 1.02215, 'EndZ': 9.85}",
00100319,beam,M319,L40x4,A36,-1.02215,1.02215,9.85,0.0,1.00274,10.925,"{'ID': '00100334', 'Type': 'beam', 'PieceMark': 'M334', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': 1.02215, 'EndZ': 9.85}",
00100321,beam,M321,L40x4,A36,-1.02215,1.02215,9.85,-1.00274,0.0,10.925,"{'ID': '00100334', 'Type': 'beam', 'PieceMark': 'M334', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': 1.02215, 'EndZ': 9.85}",
00100322,beam,M322,L40x4,A36,-1.02215,-1.02215,9.85,-1.00274,0.0,10.925,"{'ID': '00100331', 'Type': 'beam', 'PieceMark': 'M331', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': -1.02215, 'EndZ': 9.85}",
00100323,beam,M323,L40x4,A36,0.0,-1.00274,10.925,-0.983333,-0.983333,12.0,,"{'ID': '00100303', 'Type': 'beam', 'PieceMark': 'M303', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.02215, 'StartY': -1.02215, 'StartZ': 9.85, 'EndX': -0.983333, 'EndY': -0.983333, 'EndZ': 12.0}"
00100324,beam,M324,L40x4,A36,0.0,-1.00274,10.925,0.983333,-0.983333,12.0,,"{'ID': '00100304', 'Type': 'beam', 'PieceMark': 'M304', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.02215, 'StartY': -1.02215, 'StartZ': 9.85, 'EndX': 0.983333, 'EndY': -0.983333, 'EndZ': 12.0}"
00100325,beam,M325,L40x4,A36,1.00274,0.0,10.925,0.983333,-0.983333,12.0,,"{'ID': '00100304', 'Type': 'beam', 'PieceMark': 'M304', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.02215, 'StartY': -1.02215, 'StartZ': 9.85, 'EndX': 0.983333, 'EndY': -0.983333, 'EndZ': 12.0}"
00100326,beam,M326,L40x4,A36,1.00274,0.0,10.925,0.983333,0.983333,12.0,,"{'ID': '00100305', 'Type': 'beam', 'PieceMark': 'M305', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.02215, 'StartY': 1.02215, 'StartZ': 9.85, 'EndX': 0.983333, 'EndY': 0.983333, 'EndZ': 12.0}"
00100327,beam,M327,L40x4,A36,0.0,1.00274,10.925,0.983333,0.983333,12.0,,"{'ID': '00100305', 'Type': 'beam', 'PieceMark': 'M305', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.02215, 'StartY': 1.02215, 'StartZ': 9.85, 'EndX': 0.983333, 'EndY': 0.983333, 'EndZ': 12.0}"
00100328,beam,M328,L40x4,A36,0.0,1.00274,10.925,-0.983333,0.983333,12.0,,"{'ID': '00100306', 'Type': 'beam', 'PieceMark': 'M306', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.02215, 'StartY': 1.02215, 'StartZ': 9.85, 'EndX': -0.983333, 'EndY': 0.983333, 'EndZ': 12.0}"
00100329,beam,M329,L40x4,A36,-1.00274,0.0,10.925,-0.983333,0.983333,12.0,,"{'ID': '00100306', 'Type': 'beam', 'PieceMark': 'M306', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.02215, 'StartY': 1.02215, 'StartZ': 9.85, 'EndX': -0.983333, 'EndY': 0.983333, 'EndZ': 12.0}"
