,ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,MemberClass
206,100445,beam,M445,L40x4,A36,-1.18285,1.18285,0.95,-1.18285,-1.18285,0.95,horizontal
207,100011,beam,M11,L40x4,A36,-0.45,-0.55,45.94772727272727,0.45,-0.55,46.82727272727273,brace
208,100012,beam,M12,L40x4,A36,0.55,-0.45,45.94772727272727,0.55,0.45,46.82727272727273,brace
209,100013,beam,M13,L40x4,A36,0.45,0.55,45.94772727272727,-0.45,0.55,46.82727272727273,brace
210,100014,beam,M14,L40x4,A36,-0.55,0.45,45.94772727272727,-0.55,-0.45,46.82727272727273,brace
211,100015,beam,M15,L40x4,A36,0.45,-0.55,47.02272727272727,-0.45,-0.55,47.90227272727272,brace
212,100016,beam,M16,L40x4,A36,0.55,0.45,47.02272727272727,0.55,-0.45,47.90227272727272,brace
213,100017,beam,M17,L40x4,A36,-0.45,0.55,47.02272727272727,0.45,0.55,47.90227272727272,brace
214,100018,beam,M18,L40x4,A36,-0.55,-0.45,47.02272727272727,-0.55,0.45,47.90227272727272,brace
215,100027,beam,M27,L40x4,A36,-0.45,-0.55,43.79772727272727,0.45,-0.55,44.67727272727273,brace
216,100028,beam,M28,L40x4,A36,0.55,-0.45,43.79772727272727,0.55,0.45,44.67727272727273,brace
217,100029,beam,M29,L40x4,A36,0.45,0.55,43.79772727272727,-0.45,0.55,44.67727272727273,brace
218,100030,beam,M30,L40x4,A36,-0.55,0.45,43.79772727272727,-0.55,-0.45,44.67727272727273,brace
219,100031,beam,M31,L40x4,A36,0.45,-0.55,44.87272727272728,-0.45,-0.55,45.752272727272725,brace
220,100032,beam,M32,L40x4,A36,0.55,0.45,44.87272727272728,0.55,-0.45,45.752272727272725,brace
221,100033,beam,M33,L40x4,A36,-0.45,0.55,44.87272727272728,0.45,0.55,45.752272727272725,brace
222,100034,beam,M34,L40x4,A36,-0.55,-0.45,44.87272727272728,-0.55,0.45,45.752272727272725,brace
223,100043,beam,M43,L40x4,A36,-0.45,-0.55,41.64772727272727,0.45,-0.55,42.52727272727272,brace
224,100044,beam,M44,L40x4,A36,0.55,-0.45,41.64772727272727,0.55,0.45,42.52727272727272,brace
225,100045,beam,M45,L40x4,A36,0.45,0.55,41.64772727272727,-0.45,0.55,42.52727272727272,brace
226,100046,beam,M46,L40x4,A36,-0.55,0.45,41.64772727272727,-0.55,-0.45,42.52727272727272,brace
227,100047,beam,M47,L40x4,A36,0.45,-0.55,42.72272727272728,-0.45,-0.55,43.60227272727273,brace
228,100048,beam,M48,L40x4,A36,0.55,0.45,42.72272727272728,0.55,-0.45,43.60227272727273,brace
229,100049,beam,M49,L40x4,A36,-0.45,0.55,42.72272727272728,0.45,0.55,43.60227272727273,brace
230,100050,beam,M50,L40x4,A36,-0.55,-0.45,42.72272727272728,-0.55,0.45,43.60227272727273,brace
231,100059,beam,M59,L40x5,A36,-0.45,-0.55,39.59318181818182,0.45,-0.55,40.43181818181818,brace
232,100060,beam,M60,L40x5,A36,0.55,-0.45,39.59318181818182,0.55,0.45,40.43181818181818,brace
233,100061,beam,M61,L40x5,A36,0.45,0.55,39.59318181818182,-0.45,0.55,40.43181818181818,brace
234,100062,beam,M62,L40x5,A36,-0.55,0.45,39.59318181818182,-0.55,-0.45,40.43181818181818,brace
235,100063,beam,M63,L40x5,A36,0.45,-0.55,40.61818181818182,-0.45,-0.55,41.45681818181818,brace
236,100064,beam,M64,L40x5,A36,0.55,0.45,40.61818181818182,0.55,-0.45,41.45681818181818,brace
237,100065,beam,M65,L40x5,A36,-0.45,0.55,40.61818181818182,0.45,0.55,41.45681818181818,brace
238,100066,beam,M66,L40x5,A36,-0.55,-0.45,40.61818181818182,-0.55,0.45,41.45681818181818,brace
239,100075,beam,M75,L40x5,A36,-0.45,-0.55,37.59090909090909,0.45,-0.55,38.40909090909091,brace
240,100076,beam,M76,L40x5,A36,0.55,-0.45,37.59090909090909,0.55,0.45,38.40909090909091,brace
241,100077,beam,M77,L40x5,A36,0.45,0.55,37.59090909090909,-0.45,0.55,38.40909090909091,brace
242,100078,beam,M78,L40x5,A36,-0.55,0.45,37.59090909090909,-0.55,-0.45,38.40909090909091,brace
243,100079,beam,M79,L40x5,A36,0.45,-0.55,38.59090909090909,-0.45,-0.55,39.40909090909091,brace
