Member A,Class A,Member B,Class B,Volume (m³)
200,horizontal,438,brace,3.532993e-07
87,leg,91,leg,N/A
175,horizontal,371,brace,1.343790e-06
194,horizontal,424,brace,7.474245e-06
194,horizontal,89,leg,N/A
101,horizontal,97,horizontal,1.545131e-06
269,brace,30,leg,N/A
114,horizontal,232,brace,6.400172e-07
118,horizontal,16,leg,N/A
324,brace,57,leg,N/A
161,horizontal,56,leg,N/A
172,horizontal,346,brace,1.236509e-06
312,brace,49,leg,N/A
159,horizontal,160,horizontal,9.112643e-07
109,horizontal,230,brace,7.851999e-06
123,horizontal,125,horizontal,1.545131e-06
205,horizontal,452,brace,7.142747e-06
411,brace,435,brace,2.976373e-06
317,brace,321,brace,7.726206e-06
152,horizontal,157,horizontal,1.545057e-06
394,brace,401,brace,3.586880e-09
353,brace,371,brace,5.457619e-06
120,horizontal,23,leg,N/A
16,leg,251,brace,N/A
162,horizontal,163,horizontal,9.112015e-07
119,horizontal,253,brace,6.400172e-07
21,leg,240,brace,N/A
142,horizontal,294,brace,6.222347e-07
375,brace,80,leg,N/A
329,brace,58,leg,N/A
136,horizontal,37,leg,N/A
158,horizontal,315,brace,1.672461e-05
102,horizontal,103,horizontal,6.399562e-07
360,brace,73,leg,N/A
331,brace,56,leg,N/A
106,horizontal,109,horizontal,6.400172e-07
125,horizontal,261,brace,6.103299e-07
1,leg,97,horizontal,N/A
122,horizontal,24,leg,N/A
209,brace,3,leg,N/A
82,leg,86,leg,N/A
51,leg,55,leg,N/A
453,brace,454,brace,2.919792e-06
170,horizontal,64,leg,N/A
387,brace,78,leg,N/A
171,horizontal,344,brace,2.419333e-05
412,brace,413,brace,2.177347e-06
374,brace,68,leg,N/A
140,horizontal,292,brace,6.222347e-07
445,brace,454,brace,5.052305e-09
424,brace,432,brace,3.862433e-06
113,horizontal,8,leg,N/A
355,brace,69,leg,N/A
19,leg,241,brace,N/A
116,horizontal,18,leg,N/A
365,brace,75,leg,N/A
398,brace,406,brace,2.618756e-06
169,horizontal,64,leg,N/A
103,horizontal,6,leg,N/A
110,horizontal,224,brace,6.399562e-07
171,horizontal,357,brace,1.198134e-06
0,leg,219,brace,N/A
135,horizontal,278,brace,1.027536e-05
395,brace,86,leg,N/A
167,horizontal,349,brace,1.193025e-06
122,horizontal,126,horizontal,1.545131e-06
126,horizontal,249,brace,1.037438e-05
136,horizontal,272,brace,6.582533e-07
203,horizontal,206,horizontal,6.399839e-07
188,horizontal,404,brace,5.854137e-06
410,brace,434,brace,2.976366e-06
397,brace,420,brace,1.491348e-07
144,horizontal,41,leg,N/A
147,horizontal,287,brace,6.572990e-07
426,brace,90,leg,N/A
205,horizontal,95,leg,N/A
115,horizontal,17,leg,N/A
350,brace,67,leg,N/A
336,brace,62,leg,N/A
384,brace,73,leg,N/A
385,brace,386,brace,2.263015e-06
175,horizontal,368,brace,1.343790e-06
210,brace,3,leg,N/A
346,brace,67,leg,N/A
357,brace,66,leg,N/A
162,horizontal,61,leg,N/A
126,horizontal,250,brace,6.400172e-07
117,horizontal,234,brace,8.128670e-06
325,brace,58,leg,N/A
407,brace,438,brace,1.834698e-07
178,horizontal,72,leg,N/A
391,brace,422,brace,1.491348e-07
417,brace,418,brace,2.295496e-06
165,horizontal,323,brace,9.221391e-07
172,horizontal,357,brace,2.824935e-05
361,brace,369,brace,2.177888e-06
18,leg,253,brace,N/A
341,brace,58,leg,N/A
397,brace,405,brace,2.618787e-06
184,horizontal,388,brace,5.315662e-06
139,horizontal,32,leg,N/A
425,brace,434,brace,5.071470e-09
230,brace,8,leg,N/A
168,horizontal,66,leg,N/A
435,brace,86,leg,N/A
437,brace,91,leg,N/A
197,horizontal,430,brace,7.474245e-06
130,horizontal,270,brace,6.148798e-07
171,horizontal,356,brace,2.824935e-05
16,leg,20,leg,N/A
136,horizontal,36,leg,N/A
396,brace,83,leg,N/A
385,brace,73,leg,N/A
337,brace,63,leg,N/A
171,horizontal,345,brace,1.236509e-06
151,horizontal,51,leg,N/A
377,brace,401,brace,2.500207e-06
218,brace,7,leg,N/A
409,brace,410,brace,2.298588e-06
194,horizontal,202,horizontal,1.280021e-06
274,brace,35,leg,N/A
198,horizontal,424,brace,1.186825e-06
295,brace,49,leg,N/A
134,horizontal,266,brace,6.644370e-07
381,brace,389,brace,2.381277e-06
423,brace,430,brace,2.687449e-06
184,horizontal,185,horizontal,6.400211e-07
223,brace,227,brace,3.274897e-06
