ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Holes,HoleCount
100006,beam,M6,L40x4,A36,0.55,-0.55,48.0,-0.55,0.55,48.0,"[{'MemberID': 100006, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.5061593795664341, 'HoleCenterY': -0.5061593795664341, 'HoleCenterZ': 48.0, 'NormalX': -0.7071067811865476, 'NormalY': -0.7071067811865476, 'NormalZ': 0.0, 'ConnectedLegID': 100002, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100006, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.5061593795664341, 'HoleCenterY': 0.5061593795664341, 'HoleCenterZ': 48.0, 'NormalX': -0.7071067811865476, 'NormalY': -0.7071067811865476, 'NormalZ': 0.0, 'ConnectedLegID': 100004, 'Radius': 0.006, 'Depth': 0.05}]",2
100007,beam,M7,L40x4,A36,-0.55,-0.55,48.0,0.55,-0.55,48.0,"[{'MemberID': 100007, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 48.0, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100001, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100007, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 48.0, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100002, 'Radius': 0.006, 'Depth': 0.05}]",2
100008,beam,M8,L40x4,A36,0.55,-0.55,48.0,0.55,0.55,48.0,"[{'MemberID': 100008, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 48.0, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100002, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100008, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 48.0, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100003, 'Radius': 0.006, 'Depth': 0.05}]",2
100009,beam,M9,L40x4,A36,0.55,0.55,48.0,-0.55,0.55,48.0,"[{'MemberID': 100009, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 48.0, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100003, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100009, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 48.0, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100004, 'Radius': 0.006, 'Depth': 0.05}]",2
100010,beam,M10,L40x4,A36,-0.55,0.55,48.0,-0.55,-0.55,48.0,"[{'MemberID': 100010, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 48.0, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100004, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100010, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 48.0, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100001, 'Radius': 0.006, 'Depth': 0.05}]",2
100023,beam,M23,L40x4,A36,-0.55,-0.55,45.85,0.55,-0.55,45.85,"[{'MemberID': 100023, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 45.85, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100001, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100023, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 45.85, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100002, 'Radius': 0.006, 'Depth': 0.05}]",2
100024,beam,M24,L40x4,A36,0.55,-0.55,45.85,0.55,0.55,45.85,"[{'MemberID': 100024, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 45.85, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100002, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100024, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 45.85, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100003, 'Radius': 0.006, 'Depth': 0.05}]",2
100025,beam,M25,L40x4,A36,0.55,0.55,45.85,-0.55,0.55,45.85,"[{'MemberID': 100025, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 45.85, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100003, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100025, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 45.85, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100004, 'Radius': 0.006, 'Depth': 0.05}]",2
100026,beam,M26,L40x4,A36,-0.55,0.55,45.85,-0.55,-0.55,45.85,"[{'MemberID': 100026, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 45.85, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100004, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100026, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 45.85, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100001, 'Radius': 0.006, 'Depth': 0.05}]",2
100039,beam,M39,L40x4,A36,-0.55,-0.55,43.7,0.55,-0.55,43.7,"[{'MemberID': 100039, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 43.7, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100019, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100039, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 43.7, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100020, 'Radius': 0.006, 'Depth': 0.05}]",2
